Pra_Test	Trial	PointNum	PointTime	ObjPointX	ObjPointY	PostPointX	PostPointY	ObjRotate	PostRotate	Distance	RotateError	Hit	ObjSpeedX	ObjSpeedY	PostSpeedX	PostSpeedY	ObjRotateSpeed	PostRotateSpeed
0	1	168	143225996	804	316	773	329	0.00	0.00	33.62	0.00	0	-2.26	-9.74	0.00	0.00	0.00	0.00
0	1	169	143226036	804	315	773	329	0.00	0.00	34.01	0.00	0	-2.27	-9.74	0.00	0.00	0.00	0.00
0	1	170	143226077	804	315	773	329	0.00	0.00	34.01	0.00	0	-2.29	-9.74	0.00	-500.00	0.00	0.00
0	1	171	143226118	803	314	773	306	0.00	0.00	31.05	0.00	0	-2.30	-9.73	0.00	-500.00	0.00	0.00
0	1	172	143226158	803	314	773	287	0.00	0.00	40.36	0.00	0	-2.31	-9.73	0.00	-500.00	0.00	0.00
0	1	173	143226199	803	314	773	264	0.00	0.00	58.31	0.00	0	-2.33	-9.73	0.00	-500.00	0.00	0.00
0	1	174	143226240	803	313	773	246	0.00	0.00	73.41	0.00	0	-2.34	-9.72	0.00	-500.00	0.00	0.00
0	1	175	143226281	803	313	773	223	0.00	0.00	94.87	0.00	0	-2.35	-9.72	0.00	0.00	0.00	0.00
0	1	176	143226322	803	313	773	223	0.00	0.00	94.87	0.00	0	-2.37	-9.72	0.00	0.00	0.00	0.00
0	1	177	143226363	803	312	773	223	0.00	0.00	93.92	0.00	0	-2.38	-9.71	0.00	0.00	0.00	0.00
0	1	178	143226404	803	312	773	223	0.00	0.00	93.92	0.00	0	-2.39	-9.71	0.00	0.00	0.00	0.00
0	1	179	143226444	803	311	773	223	0.00	0.00	92.97	0.00	0	-2.41	-9.71	0.00	0.00	0.00	0.00
0	1	180	143226484	803	311	773	223	0.00	0.00	92.97	0.00	0	-2.42	-9.70	0.00	500.00	0.00	0.00
0	1	181	143226525	802	311	773	240	0.00	0.00	76.69	0.00	0	-2.43	-9.70	0.00	500.00	0.00	0.00
0	1	182	143226566	802	310	773	264	0.00	0.00	54.38	0.00	0	-2.45	-9.70	0.00	500.00	0.00	0.00
0	1	183	143226606	802	310	773	281	0.00	0.00	41.01	0.00	0	-2.46	-9.69	0.00	500.00	0.00	0.00
0	1	184	143226647	802	309	773	306	0.00	0.00	29.15	0.00	0	-2.47	-9.69	0.00	500.00	0.00	0.00
0	1	185	143226687	802	309	773	323	0.00	0.00	32.20	0.00	0	-2.49	-9.69	0.00	0.00	0.00	0.00
0	1	186	143226728	802	309	773	323	0.00	0.00	32.20	0.00	0	-2.50	-9.68	0.00	0.00	0.00	0.00
0	1	187	143226768	802	308	773	323	0.00	0.00	32.65	0.00	0	-2.51	-9.68	0.00	0.00	0.00	0.00
0	1	188	143226809	802	308	773	323	0.00	0.00	32.65	0.00	0	-2.52	-9.68	0.00	0.00	0.00	0.00
0	1	189	143226849	802	307	773	323	0.00	0.00	33.12	0.00	0	-2.54	-9.67	0.00	0.00	0.00	0.00
0	1	190	143226890	802	307	773	323	0.00	0.00	33.12	0.00	0	-2.55	-9.67	0.00	0.00	0.00	0.00
0	1	191	143226930	801	307	773	323	0.00	0.00	32.25	0.00	0	-2.57	-9.67	0.00	0.00	0.00	0.00
0	1	192	143226971	801	306	773	323	0.00	0.00	32.76	0.00	0	-2.58	-9.66	0.00	0.00	0.00	0.00
0	1	193	143227011	801	306	773	323	0.00	0.00	32.76	0.00	0	-2.59	-9.66	-500.00	0.00	0.00	0.00
0	1	194	143227052	801	305	748	323	0.00	0.00	55.97	0.00	0	-2.61	-9.65	-500.00	0.00	0.00	0.00
